id,site_eui
75757,239.6976690071901
75758,241.4194876496749
75759,362.42336738315936
75760,248.34112031924482
75761,244.904251099762
75762,257.789025492844
75763,257.1167028495628
75764,282.33362254622455
75765,172.54083834590793
75766,340.30619522262015
75767,239.05011061284148
75768,181.03235976055936
75769,195.5915443294058
75770,201.2426994423541
75771,163.52143847983353
75772,211.2787117103991
75773,226.11586411156838
75774,190.1425698585431
75775,288.61462061327796
75776,263.101160995154
75777,238.23133175665066
75778,299.09775699203544
75779,277.2958597175617
75780,285.9106631661085
75781,261.90169914741125
75782,256.5563554199506
75783,274.6009859450022
75784,143.98037223875428
75785,170.4298234232623
75786,285.7169727574265
75787,237.73841488289318
75788,252.70592138472682
75789,280.1660183864134
75790,289.38694027402806
75791,200.69620787860023
75792,229.00390990384446
75793,221.35501547523404
75794,262.9152946676047
75795,251.81634535473754
75796,258.3760048474515
75797,227.43992051006072
75798,294.3365998816073
75799,278.0926106034334
75800,199.3808988866801
75801,265.71290187107456
75802,250.20364163726646
75803,236.66495649715583
75804,233.08856761753484
75805,246.02695333854322
75806,268.55606158713874
75807,144.34058181192836
75808,216.7934515405095
75809,129.8403084494036
75810,183.2928559250237
75811,277.6069347221702
75812,170.3173508463645
75813,300.0328757086976
75814,281.11585558248294
75815,286.62614128378215
75816,323.28712451521585
75817,151.02991881832222
75818,280.32620366549196
75819,322.39154686599625
75820,302.88157890209436
75821,204.31519220539525
75822,222.98560028379006
75823,228.40213041200812
75824,138.1936009988396
75825,255.76436506476176
75826,254.4197975925062
75827,49.928821048814754
75828,57.59729672450931
75829,65.02357135065614
75830,101.6245724686622
75831,108.13775396666922
75832,70.27259272034362
75833,84.2731468261219
75834,87.06737909352456
75835,142.98270894207204
75836,61.02388612829205
75837,80.08983766978021
75838,67.91597572806829
75839,67.69169642715752
75840,89.14542349395134
75841,275.14483534503677
75842,65.15410074726528
75843,93.49803201991588
75844,78.9753037088144
75845,102.72075940876138
75846,96.18440914963308
75847,90.31569071811884
75848,61.20881174557444
75849,79.32127933408769
75850,95.17602019021466
75851,86.9247233098563
75852,72.69753689034633
75853,115.64235032923025
75854,115.21551399853806
75855,76.64197458781338
75856,83.37570291512999
75857,71.79746054699622
75858,76.27092449544644
75859,90.28140415147783
75860,66.42004025478869
75861,71.18506870792058
75862,29.670736842059917
75863,27.762654928925173
75864,20.68357652375927
75865,48.817874477443326
75866,58.74581806223976
75867,23.486432699192484
75868,26.82482251484697
75869,15.003547979336673
75870,41.08909001120267
75871,32.63509395002997
75872,55.824372468802096
75873,59.65289761512108
75874,49.56870021881399
75875,55.483629752580924
75876,34.832320356600995
75877,45.6133547764522
75878,31.971320785196916
75879,44.22032307862765
75880,81.16362690947449
75881,79.50512283696936
75882,78.47427638721568
75883,128.0775917451162
75884,78.17504595679645
75885,116.37909202189687
75886,6.695979682963454
75887,19.961561592827195
75888,44.298646234453
75889,6.449867007671557
75890,35.2353177847179
75891,75.35158511008909
75892,103.8906016196286
75893,45.228706544890144
75894,102.9548866469072
75895,58.68047878522436
75896,66.8169272404539
75897,47.58069473022605
75898,52.799416855774496
75899,55.65993965310872
75900,86.03064134456986
75901,34.03487908268825
75902,59.54624769708996
75903,54.032887070622124
75904,61.76581715600537
75905,79.40648297266915
75906,27.50650901852339
75907,53.53666908829604
75908,60.062291711250154
75909,73.54117740933414
75910,71.80730840683034
75911,50.42906120292252
75912,37.61224625532231
75913,76.47648764863922
75914,68.67221741029347
75915,83.24592984486047
75916,55.75218920735085
75917,55.81061032280678
75918,36.48774843588577
75919,85.18859187650929
75920,57.99004090472022
75921,66.3400975399216
75922,58.029645486708134
75923,78.40737645637039
75924,72.81426132189519
75925,73.52854689315376
75926,102.80922894787774
75927,188.59193642711884
75928,103.69228571948766
75929,56.40157511760487
75930,161.25052723401362
75931,75.81154318643556
75932,47.251309909183306
75933,64.90131880238425
75934,49.108366461746584
75935,60.70286704763779
75936,114.76004115229631
75937,85.15002899426626
75938,141.6756301590945
75939,81.11861662502756
75940,70.98598528235715
75941,109.39608000136903
75942,132.99035577646637
75943,151.53492066365476
75944,101.25210050938443
75945,167.46408494228916
75946,138.79338901706325
75947,131.98098632771718
75948,104.83686100477175
75949,95.72315815202342
75950,105.25546100217346
75951,238.14101781899345
75952,128.57183742169457
75953,135.91074319483852
75954,100.69249134733113
75955,115.33193090406023
75956,87.8095356192065
75957,82.94985768674795
75958,86.25656842088065
75959,139.84414688989736
75960,81.72674978779312
75961,116.66371328564414
75962,128.1365045391218
75963,103.7394846759301
75964,109.08726146620282
75965,111.6877416223771
75966,92.3181544231838
75967,211.88824244967918
75968,128.94634349064913
75969,113.61749044316113
75970,89.17090634308572
75971,88.22236804208964
75972,154.08255237150524
75973,79.17234909838524
75974,86.61291589192105
75975,118.36932562292137
75976,189.41318334301542
75977,37.75900594040178
75978,22.305846268399506
75979,20.729843588234864
75980,25.89607136872067
75981,17.18586178738485
75982,25.484177456902053
75983,34.26747072805466
75984,41.93410291896717
75985,46.11555881844537
75986,31.40492394747463
75987,14.255077110796208
75988,30.28095710257132
75989,31.514249487407206
75990,24.175738766121476
75991,59.26696512736612
75992,33.89060041061737
75993,39.38521251781037
75994,38.97419612609505
75995,59.816719714888265
75996,61.3861724151176
75997,35.408514099722055
75998,27.110548728667297
75999,24.084925554157223
76000,34.19170647901751
76001,30.198656577211757
76002,139.4213130736545
76003,54.27321394881877
76004,55.896539593508635
76005,45.183868459616015
76006,50.9692866904467
76007,42.13109457108638
76008,58.086812661109214
76009,31.785637486282425
76010,19.85432475717557
76011,44.87314833636575
76012,99.59179208377822
76013,44.20750705019672
76014,57.07980582136077
